representation_id,model,platform,Bc,Bf,zmin,zmax,groups,values,block,order,fp32_ms,identity_ms,mapped_ms,codec_percent,mapping_percent,total_percent
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,1048576,33554432,11,F-I-M-M-I-F,0.0969814395904541,0.09787695884704589,0.11336463928222656,0.923392414438795,15.823622451718755,16.893128995566144
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,1048576,33554432,12,M-I-F-F-I-M,0.09754288196563721,0.09787263870239257,0.11349840164184571,0.3380633523536236,15.965404781787251,16.357441316763
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,1048576,33554432,13,F-I-M-M-I-F,0.09719567775726318,0.09790527820587158,0.11341615676879882,0.7300740783767745,15.842739888151414,16.688477703756256
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,1048576,33554432,14,M-I-F-F-I-M,0.09709903717041016,0.09779183864593506,0.11340015888214111,0.7134998406925774,15.960759560639314,16.788139395370383
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,1048576,33554432,15,F-I-M-M-I-F,0.09755007743835449,0.09799344062805176,0.11353631973266601,0.4544980397144682,15.861142342791567,16.387728963530357
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,4194304,134217728,1,F-I-M-M-I-F,0.37885663986206053,0.3823489570617676,0.4424403190612793,0.9218044062732078,15.716366133517168,16.78304469531515
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,4194304,134217728,2,M-I-F-F-I-M,0.37856704711914063,0.3814435195922852,0.44228544235229494,0.759831711458836,15.950440795282628,16.831469014021504
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,4194304,134217728,3,F-I-M-M-I-F,0.3786193466186524,0.3816347312927246,0.44242160797119146,0.79641589924071,15.92802533264237,16.85129455806733
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,4194304,134217728,4,M-I-F-F-I-M,0.3786716651916504,0.3815774345397949,0.44209663391113285,0.7673585364972757,15.86026685365387,16.749330501763925
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,4194304,134217728,5,F-I-M-M-I-F,0.37923473358154297,0.3813971138000488,0.44199422836303714,0.5701957197021601,15.888194317788408,16.548983841428555
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,4194304,134217728,6,M-I-F-F-I-M,0.3785366439819336,0.3817241668701172,0.44229616165161134,0.8420645501194146,15.868001043304126,16.843684405021776
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,4194304,134217728,7,F-I-M-M-I-F,0.37857120513916015,0.3814860725402832,0.44185279846191405,0.7699654283139568,15.82409693744622,16.715902441521415
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,4194304,134217728,8,M-I-F-F-I-M,0.3785918426513672,0.38142799377441405,0.4426724815368652,0.7491315986061897,16.05663159549655,16.92604849505639
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,4194304,134217728,9,F-I-M-M-I-F,0.3787067222595215,0.3817620849609375,0.4419636917114258,0.8067886102434141,15.76940432852263,16.703418696791793
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,4194304,134217728,10,M-I-F-F-I-M,0.37860464096069335,0.38161903381347656,0.44267217636108397,0.7961848658627924,15.998453205415398,16.92201533447184
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,4194304,134217728,11,F-I-M-M-I-F,0.3790576171875,0.38148912429809567,0.44195520401000976,0.6414610867436998,15.850014026786742,16.593146785755696
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,4194304,134217728,12,M-I-F-F-I-M,0.37842529296875,0.3820062446594238,0.4421887969970703,0.9462770478635862,15.754337312287149,16.84969403817991
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,4194304,134217728,13,F-I-M-M-I-F,0.37861583709716795,0.38150768280029296,0.4420638465881348,0.7637941733490861,15.87285565086276,16.757885770817225
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,4194304,134217728,14,M-I-F-F-I-M,0.3784428787231445,0.3815959930419922,0.44203840255737303,0.8331810416108754,15.839372167812439,16.804523855435715
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,4194304,134217728,15,F-I-M-M-I-F,0.37902959823608395,0.3814792060852051,0.44204256057739255,0.646284052886914,15.875925483251741,16.624813110785098
REP_0025,MiniCPM3-4B,AMD_ROCm,19,13,-5.75,-3.0,1048576,33554432,1,F-I-M-M-I-F,0.09732896327972412,0.09850127696990968,0.10916255950927733,1.204485952261014,10.82349677824428,12.158350228742677
REP_0025,MiniCPM3-4B,AMD_ROCm,19,13,-5.75,-3.0,1048576,33554432,2,M-I-F-F-I-M,0.09736224174499512,0.09813839912414551,0.10925071716308593,0.797185197505268,11.323109137824105,12.210560485273469
REP_0025,MiniCPM3-4B,AMD_ROCm,19,13,-5.75,-3.0,1048576,33554432,3,F-I-M-M-I-F,0.09731343746185303,0.0981328010559082,0.1091200017929077,0.8419840213499397,11.196257131944986,12.132511849335149
REP_0025,MiniCPM3-4B,AMD_ROCm,19,13,-5.75,-3.0,1048576,33554432,4,M-I-F-F-I-M,0.09738368034362793,0.09812959671020507,0.10913935661315918,0.765956229981346,11.219611892901149,12.071505439155917
REP_0025,MiniCPM3-4B,AMD_ROCm,19,13,-5.75,-3.0,1048576,33554432,5,F-I-M-M-I-F,0.09715648174285887,0.09810287952423095,0.10907791614532471,0.9740963900657595,11.187272661433934,12.27034387064152
REP_0025,MiniCPM3-4B,AMD_ROCm,19,13,-5.75,-3.0,1048576,33554432,6,M-I-F-F-I-M,0.09721327781677246,0.09803279876708984,0.10904079914093018,0.8430133915060534,11.228895341439316,12.166569824391926
REP_0025,MiniCPM3-4B,AMD_ROCm,19,13,-5.75,-3.0,1048576,33554432,7,F-I-M-M-I-F,0.09729632377624511,0.09800911903381347,0.1090121603012085,0.732602455985476,11.226548484329246,12.041396910233315
REP_0025,MiniCPM3-4B,AMD_ROCm,19,13,-5.75,-3.0,1048576,33554432,8,M-I-F-F-I-M,0.09716911792755127,0.09802351951599121,0.10901727676391601,0.8792933461400532,11.215427993412664,12.193337851639917
REP_0025,MiniCPM3-4B,AMD_ROCm,19,13,-5.75,-3.0,1048576,33554432,9,F-I-M-M-I-F,0.09717983722686768,0.09808015823364258,0.10902143955230713,0.9264483584934258,11.155448273850332,12.185246099759418
REP_0025,MiniCPM3-4B,AMD_ROCm,19,13,-5.75,-3.0,1048576,33554432,10,M-I-F-F-I-M,0.09968976020812989,0.09800159931182861,0.10907392024993896,-1.6934145420520408,11.298102292065293,9.413364042823513
REP_0025,MiniCPM3-4B,AMD_ROCm,19,13,-5.75,-3.0,1048576,33554432,11,F-I-M-M-I-F,0.09718095779418945,0.0981004762649536,0.1093558406829834,0.9461920232475274,11.473302522641049,12.52805401916084
REP_0025,MiniCPM3-4B,AMD_ROCm,19,13,-5.75,-3.0,1048576,33554432,12,M-I-F-F-I-M,0.09724912166595459,0.09798896312713623,0.10987504005432128,0.760769298999886,12.130016022073221,12.983066758932814
REP_0025,MiniCPM3-4B,AMD_ROCm,19,13,-5.75,-3.0,1048576,33554432,13,F-I-M-M-I-F,0.09722912311553955,0.09811984062194824,0.10901040077209473,0.9161015525669614,11.099243619959974,12.117025515652568
REP_0025,MiniCPM3-4B,AMD_ROCm,19,13,-5.75,-3.0,1048576,33554432,14,M-I-F-F-I-M,0.09723376274108886,0.0980292797088623,0.1090281629562378,0.818148907691385,11.219998025121814,12.129943224098728
REP_0025,MiniCPM3-4B,AMD_ROCm,19,13,-5.75,-3.0,1048576,33554432,15,F-I-M-M-I-F,0.09719024181365966,0.09802832126617432,0.10898607730865478,0.8623082285580619,11.178153314211192,12.136851678598525
REP_0025,MiniCPM3-4B,AMD_ROCm,19,13,-5.75,-3.0,4194304,134217728,1,F-I-M-M-I-F,0.378895206451416,0.382293758392334,0.42608753204345706,0.8969635622333438,11.455529338299876,12.455244824558708
