protocol,prompt_id,target_id,layer_band,layer,kv,local_group,global_group_index,encoding,fault_bit,mode,step,position,clean_input_token_id,fault_input_token_id,baseline_token_id,fault_token_id,token_same,kl,max_logit_diff,mean_logit_diff,baseline_logits_finite,fault_logits_finite,post_first_divergence,free_running_kl_path_dependent,manifest_z,amd_reconstructed_z,abs_z_error,raw_scale,clean_scale,fault_scale,scale_amplification,clean_word,fault_word,clean_equal_raw,clean_source,local_write_changed,cache_readback_pass
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,TEACHER_FORCED,24,40,33346,33346,1091,1091,True,2.6933621484204195e-06,0.2421875,0.08025629073381424,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,TEACHER_FORCED,25,41,1091,1091,7729,7729,True,3.5807529457088094e-06,0.1875,0.036690279841423035,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,TEACHER_FORCED,26,42,7729,7729,21252,21252,True,1.6593301097600488e-06,0.25,0.02564692683517933,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,TEACHER_FORCED,27,43,21252,21252,304,304,True,2.007497641898226e-05,0.25,0.020491082221269608,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,TEACHER_FORCED,28,44,304,304,10272,10272,True,9.648550758356578e-07,0.140625,0.03143642097711563,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,TEACHER_FORCED,29,45,10272,10272,1506,1506,True,-7.431992798956344e-08,0.1875,0.02766372822225094,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,TEACHER_FORCED,30,46,1506,1506,53588,53588,True,6.488965027529048e-06,0.1875,0.036961399018764496,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,TEACHER_FORCED,31,47,53588,53588,4152,4152,True,0.0019296478712931275,0.2578125,0.06654859334230423,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,TEACHER_FORCED,32,48,4152,4152,311,311,True,4.680709935200866e-06,0.25,0.037454020231962204,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,FREE_RUNNING,1,17,22406,22406,11,11,True,2.163614453820628e-06,0.25,0.028026968240737915,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
