rep,bc,bf,groups,values,block,fp32_ms,identity_ms,mapped_ms,codec_percent,mapping_percent,total_percent
REP_0008,14,18,4194304,134217728,13,0.8303596496582031,1.044950828552246,2.200347442626953,25.843160729495217,110.56947202726097,164.9872791305155
REP_0008,14,18,4194304,134217728,14,0.8302937698364258,1.0446554183959962,2.201885223388672,25.817566787451774,110.77622195934525,165.19351383576685
REP_0008,14,18,4194304,134217728,15,0.8304587936401367,1.0447924041748047,2.2006202697753907,25.809060265974537,110.62751422982244,164.9884963141214
REP_0025,19,13,1048576,33554432,1,0.16588770866394043,0.24317350387573242,0.5383296012878418,46.589223417606874,121.37675063601559,224.5144595844673
REP_0025,19,13,1048576,33554432,2,0.1655501079559326,0.24305471420288086,0.5382013702392578,46.81640332580093,121.43218740041158,225.09877334693152
REP_0025,19,13,1048576,33554432,3,0.1657311153411865,0.24307610511779787,0.5391422653198242,46.668961116555074,121.79977956226868,225.3114324427887
REP_0025,19,13,1048576,33554432,4,0.1655245304107666,0.2432297134399414,0.5384527969360351,46.94481406250857,121.37624113469614,225.30090591394983
REP_0025,19,13,1048576,33554432,5,0.16572510719299316,0.24314191818237305,0.5382085609436036,46.713990596020594,121.35572712719589,224.7598206811472
REP_0025,19,13,1048576,33554432,6,0.1654815196990967,0.24297672271728515,0.538278751373291,46.83012529683186,121.53511058736419,225.28028045190186
REP_0025,19,13,1048576,33554432,7,0.1657909107208252,0.24301072120666506,0.5382696151733399,46.57662482828753,121.50035706267302,224.66774736507148
REP_0025,19,13,1048576,33554432,8,0.16557552337646483,0.2429445171356201,0.5381969833374023,46.72731342255423,121.53082098039776,225.04622202746575
REP_0025,19,13,1048576,33554432,9,0.16571551322937011,0.24294212341308594,0.5382072067260742,46.60191956610902,121.53721189426471,224.77780519023045
REP_0025,19,13,1048576,33554432,10,0.16552890777587892,0.2431147289276123,0.5382355499267578,46.87146323516023,121.39158425362955,225.1610592728083
REP_0025,19,13,1048576,33554432,11,0.16571011543273928,0.24305392265319825,0.5380668830871582,46.674161694041146,121.37757630634893,224.70370422592353
REP_0025,19,13,1048576,33554432,12,0.16553071975708006,0.24302671432495115,0.5382418060302734,46.816684348136796,121.4743377185234,225.16127932033098
REP_0025,19,13,1048576,33554432,13,0.165650110244751,0.24298192024230958,0.5383293533325195,46.683826460060594,121.55119722310195,224.97977365492142
REP_0025,19,13,1048576,33554432,14,0.16549331665039063,0.24300950050354003,0.5381251335144044,46.839464832833436,121.44201457118146,225.16426911136787
REP_0025,19,13,1048576,33554432,15,0.1657439136505127,0.2429363250732422,0.5381550025939941,46.57330077621871,121.52101067296014,224.69065725619748
REP_0025,19,13,4194304,134217728,1,0.8391267013549805,1.0541186141967773,2.202611312866211,25.620911895025934,108.95289042443936,162.48852638219503
REP_0025,19,13,4194304,134217728,2,0.8390695190429687,1.0542331314086915,2.203016891479492,25.643121038544624,108.96866412609971,162.5547516005853
