representation_id,Bc,Bf,threads,groups,block,kernel,ms
REP_0008,14,18,4,4194304,8,ID_FULL,51.133499999999998
REP_0008,14,18,4,4194304,8,MAP_LUT8,52.517949999999999
REP_0008,14,18,4,4194304,9,ID_FULL,50.8506
REP_0008,14,18,4,4194304,9,MAP_LUT8,51.8645
REP_0008,14,18,4,4194304,10,ID_FULL,51.028549999999996
REP_0008,14,18,4,4194304,10,MAP_LUT8,52.334599999999995
REP_0008,14,18,4,4194304,11,ID_FULL,51.246049999999997
REP_0008,14,18,4,4194304,11,MAP_LUT8,52.270049999999998
REP_0008,14,18,4,4194304,12,ID_FULL,50.223399999999998
REP_0008,14,18,4,4194304,12,MAP_LUT8,52.351700000000001
REP_0008,14,18,4,4194304,13,ID_FULL,50.087499999999999
REP_0008,14,18,4,4194304,13,MAP_LUT8,52.152550000000005
REP_0008,14,18,4,4194304,14,ID_FULL,51.853899999999996
REP_0008,14,18,4,4194304,14,MAP_LUT8,51.906199999999998
REP_0008,14,18,4,4194304,15,ID_FULL,50.702799999999996
REP_0008,14,18,4,4194304,15,MAP_LUT8,52.405149999999999
REP_0008,14,18,8,4194304,1,ID_FULL,26.501999999999999
REP_0008,14,18,8,4194304,1,MAP_LUT8,27.394349999999999
REP_0008,14,18,8,4194304,2,ID_FULL,26.241300000000003
REP_0008,14,18,8,4194304,2,MAP_LUT8,27.398899999999998
REP_0008,14,18,8,4194304,3,ID_FULL,26.66545
REP_0008,14,18,8,4194304,3,MAP_LUT8,26.895800000000001
REP_0008,14,18,8,4194304,4,ID_FULL,26.27665
REP_0008,14,18,8,4194304,4,MAP_LUT8,26.867699999999999
REP_0008,14,18,8,4194304,5,ID_FULL,22.933599999999998
REP_0008,14,18,8,4194304,5,MAP_LUT8,21.39255
REP_0008,14,18,8,4194304,6,ID_FULL,16.532350000000001
REP_0008,14,18,8,4194304,6,MAP_LUT8,18.79335
REP_0008,14,18,8,4194304,7,ID_FULL,17.739400000000003
REP_0008,14,18,8,4194304,7,MAP_LUT8,17.515250000000002
REP_0008,14,18,8,4194304,8,ID_FULL,18.30545
REP_0008,14,18,8,4194304,8,MAP_LUT8,19.1646
REP_0008,14,18,8,4194304,9,ID_FULL,17.8367
REP_0008,14,18,8,4194304,9,MAP_LUT8,18.264749999999999
REP_0008,14,18,8,4194304,10,ID_FULL,19.004899999999999
REP_0008,14,18,8,4194304,10,MAP_LUT8,18.667400000000001
REP_0008,14,18,8,4194304,11,ID_FULL,17.421250000000001
REP_0008,14,18,8,4194304,11,MAP_LUT8,19.112299999999998
REP_0008,14,18,8,4194304,12,ID_FULL,17.939250000000001
REP_0008,14,18,8,4194304,12,MAP_LUT8,18.825200000000002
REP_0008,14,18,8,4194304,13,ID_FULL,17.744299999999999
REP_0008,14,18,8,4194304,13,MAP_LUT8,24.065249999999999
REP_0008,14,18,8,4194304,14,ID_FULL,16.378
REP_0008,14,18,8,4194304,14,MAP_LUT8,17.6174
REP_0008,14,18,8,4194304,15,ID_FULL,16.233000000000001
REP_0008,14,18,8,4194304,15,MAP_LUT8,20.5198
REP_0025,19,13,1,4194304,1,ID_FULL,120.92609999999999
REP_0025,19,13,1,4194304,1,MAP_LUT8,126.47315
REP_0025,19,13,1,4194304,2,ID_FULL,121.1353
REP_0025,19,13,1,4194304,2,MAP_LUT8,127.40050000000001
REP_0025,19,13,1,4194304,3,ID_FULL,121.40309999999999
REP_0025,19,13,1,4194304,3,MAP_LUT8,128.1405
