representation_id,Bc,Bf,threads,groups,block,kernel,ms
REP_0008,14,18,4,4194304,1,ID_FULL,37.565799999999996
REP_0008,14,18,4,4194304,1,MAP_LUT8,39.463250000000002
REP_0008,14,18,4,4194304,2,ID_FULL,40.337949999999999
REP_0008,14,18,4,4194304,2,MAP_LUT8,43.665100000000002
REP_0008,14,18,4,4194304,3,ID_FULL,37.0274
REP_0008,14,18,4,4194304,3,MAP_LUT8,38.739899999999999
REP_0008,14,18,4,4194304,4,ID_FULL,39.519599999999997
REP_0008,14,18,4,4194304,4,MAP_LUT8,39.9345
REP_0008,14,18,4,4194304,5,ID_FULL,36.8245
REP_0008,14,18,4,4194304,5,MAP_LUT8,39.8703
REP_0008,14,18,4,4194304,6,ID_FULL,37.557650000000002
REP_0008,14,18,4,4194304,6,MAP_LUT8,39.293499999999995
REP_0008,14,18,4,4194304,7,ID_FULL,37.729649999999999
REP_0008,14,18,4,4194304,7,MAP_LUT8,39.775149999999996
REP_0008,14,18,4,4194304,8,ID_FULL,36.379649999999998
REP_0008,14,18,4,4194304,8,MAP_LUT8,39.568200000000004
REP_0008,14,18,4,4194304,9,ID_FULL,36.234700000000004
REP_0008,14,18,4,4194304,9,MAP_LUT8,42.819749999999999
REP_0008,14,18,4,4194304,10,ID_FULL,36.689549999999997
REP_0008,14,18,4,4194304,10,MAP_LUT8,47.563500000000005
REP_0008,14,18,4,4194304,11,ID_FULL,37.386799999999994
REP_0008,14,18,4,4194304,11,MAP_LUT8,39.7333
REP_0008,14,18,4,4194304,12,ID_FULL,36.968699999999998
REP_0008,14,18,4,4194304,12,MAP_LUT8,40.865449999999996
REP_0008,14,18,4,4194304,13,ID_FULL,37.424199999999999
REP_0008,14,18,4,4194304,13,MAP_LUT8,38.525750000000002
REP_0008,14,18,4,4194304,14,ID_FULL,41.979199999999999
REP_0008,14,18,4,4194304,14,MAP_LUT8,38.523099999999999
REP_0008,14,18,4,4194304,15,ID_FULL,37.809150000000002
REP_0008,14,18,4,4194304,15,MAP_LUT8,39.635300000000001
REP_0008,14,18,8,4194304,1,ID_FULL,32.534750000000003
REP_0008,14,18,8,4194304,1,MAP_LUT8,32.21895
REP_0008,14,18,8,4194304,2,ID_FULL,33.103899999999996
REP_0008,14,18,8,4194304,2,MAP_LUT8,33.329499999999996
REP_0008,14,18,8,4194304,3,ID_FULL,32.131250000000001
REP_0008,14,18,8,4194304,3,MAP_LUT8,32.542249999999996
REP_0008,14,18,8,4194304,4,ID_FULL,32.661799999999999
REP_0008,14,18,8,4194304,4,MAP_LUT8,31.942700000000002
REP_0008,14,18,8,4194304,5,ID_FULL,32.453850000000003
REP_0008,14,18,8,4194304,5,MAP_LUT8,35.129800000000003
REP_0008,14,18,8,4194304,6,ID_FULL,33.001899999999999
REP_0008,14,18,8,4194304,6,MAP_LUT8,32.130000000000003
REP_0008,14,18,8,4194304,7,ID_FULL,33.742550000000001
REP_0008,14,18,8,4194304,7,MAP_LUT8,34.447850000000003
REP_0008,14,18,8,4194304,8,ID_FULL,31.70035
REP_0008,14,18,8,4194304,8,MAP_LUT8,32.790849999999999
REP_0008,14,18,8,4194304,9,ID_FULL,33.127650000000003
REP_0008,14,18,8,4194304,9,MAP_LUT8,33.117100000000001
REP_0008,14,18,8,4194304,10,ID_FULL,31.67445
REP_0008,14,18,8,4194304,10,MAP_LUT8,32.837800000000001
REP_0008,14,18,8,4194304,11,ID_FULL,33.136449999999996
REP_0008,14,18,8,4194304,11,MAP_LUT8,32.6327
REP_0008,14,18,8,4194304,12,ID_FULL,33.566850000000002
REP_0008,14,18,8,4194304,12,MAP_LUT8,31.649249999999999
REP_0008,14,18,8,4194304,13,ID_FULL,33.349299999999999
REP_0008,14,18,8,4194304,13,MAP_LUT8,33.927050000000001
REP_0008,14,18,8,4194304,14,ID_FULL,33.04025
REP_0008,14,18,8,4194304,14,MAP_LUT8,33.681899999999999
REP_0008,14,18,8,4194304,15,ID_FULL,32.733850000000004
REP_0008,14,18,8,4194304,15,MAP_LUT8,34.399100000000004
REP_0025,19,13,1,4194304,1,ID_FULL,140.41284999999999
REP_0025,19,13,1,4194304,1,MAP_LUT8,147.56524999999999
REP_0025,19,13,1,4194304,2,ID_FULL,140.1671
REP_0025,19,13,1,4194304,2,MAP_LUT8,148.15199999999999
REP_0025,19,13,1,4194304,3,ID_FULL,139.93254999999999
REP_0025,19,13,1,4194304,3,MAP_LUT8,148.60565
REP_0025,19,13,1,4194304,4,ID_FULL,140.39724999999999
REP_0025,19,13,1,4194304,4,MAP_LUT8,147.33255
REP_0025,19,13,1,4194304,5,ID_FULL,139.45769999999999
REP_0025,19,13,1,4194304,5,MAP_LUT8,146.96949999999998
REP_0025,19,13,1,4194304,6,ID_FULL,140.8356
REP_0025,19,13,1,4194304,6,MAP_LUT8,148.21055000000001
REP_0025,19,13,1,4194304,7,ID_FULL,139.64339999999999
REP_0025,19,13,1,4194304,7,MAP_LUT8,147.17304999999999
REP_0025,19,13,1,4194304,8,ID_FULL,139.85989999999998
REP_0025,19,13,1,4194304,8,MAP_LUT8,147.23660000000001
REP_0025,19,13,1,4194304,9,ID_FULL,141.01495
REP_0025,19,13,1,4194304,9,MAP_LUT8,147.3954
REP_0025,19,13,1,4194304,10,ID_FULL,140.542
REP_0025,19,13,1,4194304,10,MAP_LUT8,147.74759999999998
REP_0025,19,13,1,4194304,11,ID_FULL,141.24065000000002
REP_0025,19,13,1,4194304,11,MAP_LUT8,147.51650000000001
REP_0025,19,13,1,4194304,12,ID_FULL,141.4992
REP_0025,19,13,1,4194304,12,MAP_LUT8,147.83629999999999
REP_0025,19,13,1,4194304,13,ID_FULL,139.24625
REP_0025,19,13,1,4194304,13,MAP_LUT8,148.20240000000001
REP_0025,19,13,1,4194304,14,ID_FULL,140.47624999999999
REP_0025,19,13,1,4194304,14,MAP_LUT8,147.19155000000001
REP_0025,19,13,1,4194304,15,ID_FULL,140.91505000000001
REP_0025,19,13,1,4194304,15,MAP_LUT8,148.39510000000001
REP_0025,19,13,4,4194304,1,ID_FULL,38.714799999999997
REP_0025,19,13,4,4194304,1,MAP_LUT8,41.343400000000003
REP_0025,19,13,4,4194304,2,ID_FULL,43.01155
REP_0025,19,13,4,4194304,2,MAP_LUT8,41.05545
REP_0025,19,13,4,4194304,3,ID_FULL,46.981250000000003
REP_0025,19,13,4,4194304,3,MAP_LUT8,41.209299999999999
REP_0025,19,13,4,4194304,4,ID_FULL,48.614199999999997
REP_0025,19,13,4,4194304,4,MAP_LUT8,47.389200000000002
REP_0025,19,13,4,4194304,5,ID_FULL,40.771699999999996
REP_0025,19,13,4,4194304,5,MAP_LUT8,40.467599999999997
REP_0025,19,13,4,4194304,6,ID_FULL,42.086150000000004
REP_0025,19,13,4,4194304,6,MAP_LUT8,41.654650000000004
REP_0025,19,13,4,4194304,7,ID_FULL,45.417599999999993
REP_0025,19,13,4,4194304,7,MAP_LUT8,43.298100000000005
REP_0025,19,13,4,4194304,8,ID_FULL,42.313649999999996
REP_0025,19,13,4,4194304,8,MAP_LUT8,45.325249999999997
REP_0025,19,13,4,4194304,9,ID_FULL,41.5593
REP_0025,19,13,4,4194304,9,MAP_LUT8,49.302300000000002
REP_0025,19,13,4,4194304,10,ID_FULL,39.413399999999996
REP_0025,19,13,4,4194304,10,MAP_LUT8,43.4893
REP_0025,19,13,4,4194304,11,ID_FULL,38.102600000000002
REP_0025,19,13,4,4194304,11,MAP_LUT8,43.276850000000003
REP_0025,19,13,4,4194304,12,ID_FULL,38.067549999999997
REP_0025,19,13,4,4194304,12,MAP_LUT8,46.376400000000004
REP_0025,19,13,4,4194304,13,ID_FULL,40.288649999999997
REP_0025,19,13,4,4194304,13,MAP_LUT8,41.337000000000003
REP_0025,19,13,4,4194304,14,ID_FULL,41.425799999999995
REP_0025,19,13,4,4194304,14,MAP_LUT8,41.99485
REP_0025,19,13,4,4194304,15,ID_FULL,39.897599999999997
REP_0025,19,13,4,4194304,15,MAP_LUT8,46.426500000000004
REP_0025,19,13,8,4194304,1,ID_FULL,32.376649999999998
REP_0025,19,13,8,4194304,1,MAP_LUT8,33.9407
REP_0025,19,13,8,4194304,2,ID_FULL,33.075599999999994
REP_0025,19,13,8,4194304,2,MAP_LUT8,33.126350000000002
REP_0025,19,13,8,4194304,3,ID_FULL,33.408900000000003
REP_0025,19,13,8,4194304,3,MAP_LUT8,32.562150000000003
REP_0025,19,13,8,4194304,4,ID_FULL,33.940350000000002
REP_0025,19,13,8,4194304,4,MAP_LUT8,33.045749999999998
REP_0025,19,13,8,4194304,5,ID_FULL,34.105350000000001
REP_0025,19,13,8,4194304,5,MAP_LUT8,35.516499999999994
REP_0025,19,13,8,4194304,6,ID_FULL,34.479950000000002
REP_0025,19,13,8,4194304,6,MAP_LUT8,33.43815
REP_0025,19,13,8,4194304,7,ID_FULL,32.247749999999996
REP_0025,19,13,8,4194304,7,MAP_LUT8,34.183149999999998
REP_0025,19,13,8,4194304,8,ID_FULL,32.675899999999999
REP_0025,19,13,8,4194304,8,MAP_LUT8,33.546950000000002
REP_0025,19,13,8,4194304,9,ID_FULL,34.468350000000001
REP_0025,19,13,8,4194304,9,MAP_LUT8,34.42145
REP_0025,19,13,8,4194304,10,ID_FULL,32.055300000000003
REP_0025,19,13,8,4194304,10,MAP_LUT8,33.509450000000001
REP_0025,19,13,8,4194304,11,ID_FULL,32.913499999999999
REP_0025,19,13,8,4194304,11,MAP_LUT8,30.92015
REP_0025,19,13,8,4194304,12,ID_FULL,31.691549999999999
REP_0025,19,13,8,4194304,12,MAP_LUT8,34.341849999999994
REP_0025,19,13,8,4194304,13,ID_FULL,33.62715
REP_0025,19,13,8,4194304,13,MAP_LUT8,35.072600000000001
REP_0025,19,13,8,4194304,14,ID_FULL,34.521250000000002
REP_0025,19,13,8,4194304,14,MAP_LUT8,32.882599999999996
REP_0025,19,13,8,4194304,15,ID_FULL,31.470549999999999
REP_0025,19,13,8,4194304,15,MAP_LUT8,32.618600000000001
REP_0026,22,10,1,4194304,1,ID_FULL,140.71595000000002
REP_0026,22,10,1,4194304,1,MAP_LUT8,146.49495000000002
REP_0026,22,10,1,4194304,2,ID_FULL,141.11505
REP_0026,22,10,1,4194304,2,MAP_LUT8,147.15469999999999
REP_0026,22,10,1,4194304,3,ID_FULL,139.17020000000002
REP_0026,22,10,1,4194304,3,MAP_LUT8,149.38855000000001
REP_0026,22,10,1,4194304,4,ID_FULL,140.63030000000001
REP_0026,22,10,1,4194304,4,MAP_LUT8,148.05509999999998
REP_0026,22,10,1,4194304,5,ID_FULL,139.71494999999999
REP_0026,22,10,1,4194304,5,MAP_LUT8,146.1712
REP_0026,22,10,1,4194304,6,ID_FULL,140.84975
